ANN_IMPST,TIPO_DICH_ACCERT,FLG_PRES_ADESIONE,INNESCO,TIPO_CONTROLLO,TIPOLOGIA_CON,FLG_PRES_RICORSO,SETT_IMP,PESO,PESO_ADESIONE,AFFIDABILITA,SOLVIBILITA,STATO_CONTROLLO,FL_CONDONO,RIM_DA_RES_AUT,RIMB_NON_CONC,RIMB_NON_CONC_DEF,RIMB_NON_CONC_AUT,CREDITO_NON_RIC_AUT,DEBITO_IMPOSTA_AUT,IVA_OP_IMPON_DIC,CREDITI_IVA_DIC,VOL_AFF_DICH,VOL_ACC_DEF,DETR_IVA_DIC,DETR_IVA_ACC,FLG_PRES_RISCOSS,INDAGINE_BANCARIA,MAG_IMP_IRPEF_ACC,MAG_IMP_IRPEF_DEF,MAG_IMP_RIT_ACC,MAG_IMP_RIT_DEF,DEBITI_IVA_DIC,COD_MOD_DICH,COD_CLASSE_VOLUME,IMP_BEN_AMM,IMP_BEN_NO_AMM,IMP_BENI_ALTRI,IMP_INTRA_IMPOST,IMP_IMPOR_IMPON,IMP_IMPOR_IMPOST,IMP_ESPORTAZ,IMP_OPER_INT,IMP_VE_OPESEN,IMP_OPER_NOIMP,IMP_CESS_BENI,IMP_VE_VOLAFF,IMP_ACQ_NOIMP,IMP_ACQ_ESENTI,IMP_ACQ_NODETR,IMP_OPER,IMP_IVA_DEB,IMP_CREDAP_COMP,IMP_CRED_AP,IMP_VERS_PERIOD,IMP_CONSUM_IMPON,IMP_SOGG_IVA_IMPON,IMP_V_AGG_IMPON,IMP_V_AGG_IVA,VAL_ALIQ_M_VOL_IMP,VAL_ALIQ_M_ACQ_IMP,VAL_ALIQ_MEDIA_VOL,VAL_ALIQ_MEDIA_ACQ,FLG_PRES_BILANCIO,COD_NATURA_GIUR,COD_STATO_DOC,COD_DIR_REG,FLG_VC,FLG_RF,FLG_FC,COD_ATTIV_GEN,IMP_UTIL_CONTEC,IMP_PERD_CONTEC,IMP_RIM_FINALI,IMP_ESISTZ,IMP_IMPST_NETTA,IMP_ECC_PREC,IMP_ECC_PREC_F24,IMP_IMPST_DEBITO,IMP_IMPST_CREDIT,cod_uff_prov_gen,cod_uff_ann_gen,imp_ricavi_comp_attiv,imp_tot_pos,imp_sps_prest_lavoro,imp_tot_neg,imp_redd_lrd_attiv,imp_redd_imp_attiv,VAR_CREDITO,VAR_RIMBORSO,VAR_DETRAZIONE,VAR_VOL_AFF_POS,VAR_VOL_AFF_NEG,CNR_S_AND_EXT_Obi
2004,2,0,1,1,1,0,3,12,0,1,3,2,0,0,0,0,0,0,0,-400000,400000,1,0,400000,0,0,0,0,0,0,0,0,5,1,0,0,2000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1999999,-1999999,0,20,0,20,0,25,2,911,0,0,0,18,0,0,0,0,0,0,0,0,0,LI,LI,1,1,0,0,1,1,400000,0,400000,1,0,3
2005,2,1,1,1,1,0,1,54,0,3,3,8,0,0,0,0,0,0,0,-8925,8618,0,0,8618,0,0,0,0,0,0,0,0,5,1,43088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,-43088,-43088,0,20,0,20,0,24,0,911,0,1,0,16,30380,0,0,0,0,0,0,0,0,LI,LI,0,0,0,0,14761,14761,8925,0,8925,0,0,3
2003,3,0,2,1,2,0,4,45,0,4,4,21,0,0,0,0,0,0,0,-589742,549239,123818753,123818753,30493841,5245377,0,0,0,0,0,0,0,6,8,146424,31267,580223,0,0,0,0,0,0,0,0,123818753,11978,123821,46727,5180851,29944602,3772,27739,17017,0,0,-28651463,-28834029,20,20,20,19.98,1,2,2,911,0,1,0,10,617871,0,0,0,439885,0,0,411021,0,LI,LI,153277090,0,130203,0,1293780,1293780,589741,0,589742,148582504,0,3
2001,3,0,2,1,3,0,4,30,0,2,4,21,0,0,0,0,0,0,0,-12464.17,6000.71,8288258.35,8288258.35,0,0,0,0,0,0,0,0,0,6,5,0,0,8185551,0,0,0,0,0,0,0,0,8288258,0,0,4230,0,1630148,0,2370,4094,0,0,-30585,102707,20,20,19.67,19.99,1,2,2,911,0,1,0,10,626,0,0,0,6178,0,0,0,37,LI,LI,8339897,0,75825,0,17161,17161,6437,0,6437,9918405,0,3
2002,3,0,2,1,3,0,4,30,0,2,4,21,0,0,0,0,0,0,0,-4333,2932,13282097,13282097,0,0,0,0,0,0,0,0,0,I,6,0,0,13080900,0,0,0,0,0,0,12395,0,13282097,0,0,0,0,2611643,18508,0,19909,0,0,-15359,201197,20,20,19.66,19.99,1,2,2,911,0,0,0,10,22219,0,0,0,8716,37,74,4058,0,LI,LI,13283461,0,49621,0,24212,24212,4333,0,22841,15893741,0,3
2001,3,0,1,1,1,0,4,53,0,2,2,21,0,0,0,0,0,0,0,-264442.98,264425.93,1487395.87,1487395.87,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,1487396,0,0,0,1487396,0,0,0,0,0,0,17,0,0,0,-1322130,165266,0,20,0,20,1,2,2,911,0,1,0,13,96489,0,0,0,55136,0,0,55136,0,LI,LI,1487396,0,0,0,153156,153156,136573,0,136573,1487396,0,3
2002,3,0,1,1,1,0,4,53,0,2,3,21,0,0,0,0,0,0,0,-209940,68002,385000,385000,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,385000,0,0,0,385000,0,0,0,0,0,122505,264443,0,0,0,-340012,44988,0,20,0,20,1,2,2,911,0,1,0,13,9368,0,0,0,12292,0,0,0,42017,LI,LI,385000,0,0,0,34144,34144,209940,0,209941,385000,0,3
2003,3,0,AA,1,8,1,3,18,0,3,3,10,0,0,0,0,0,0,0,-200000,200000,0,0,200000,0,0,0,0,0,0,0,0,6,1,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000000,-1000000,0,20,0,20,1,4,2,911,0,1,0,8,1,0,0,0,0,0,0,0,0,LI,LI,0,0,0,0,1,1,200000,0,200000,0,0,3
2004,3,0,AA,1,8,1,3,18,0,3,3,10,0,0,0,0,0,0,0,-600000,400000,1,0,400000,0,0,0,0,0,0,0,0,6,1,0,0,2000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,200000,0,0,1,-1999999,-1999999,0,20,0,20,1,4,2,911,0,1,0,8,1,0,0,0,0,0,0,0,0,LI,LI,0,0,0,0,1,1,600000,0,600000,1,0,3
2000,3,0,2,1,1,0,4,20,0,5,5,21,0,0,0,0,0,0,0,-206221.24,189762.27,1790435.22,1804892.91,0,0,0,0,0,0,0,0,0,6,4,1032914,0,1178359,0,0,0,0,0,95803,0,0,1790435,0,7305,6089,0,93672,17650,34109,0,0,0,-1023430,-420838,20,20,5.23,13.49,1,2,2,911,0,1,0,13,0,9624,0,0,0,0,0,0,0,LI,LI,1567787,0,0,0,-9624,-9624,206221,0,206221,1884108,0,3
